tweet_id,retweet_count,favorite_count
892420643555336193,7575,35808
892177421306343426,5615,30907
891815181378084864,3715,23249
891689557279858688,7758,39070
891327558926688256,8351,37316
891087950875897856,2804,18815
890971913173991426,1824,10926
890729181411237888,16940,60301
890609185150312448,3856,25883
890240255349198849,6593,29566
890006608113172480,6579,28461
889880896479866881,4480,25896
889665388333682689,8977,44577
889638837579907072,4021,25083
889531135344209921,2026,14054
889278841981685760,4783,23354
888917238123831296,4034,26990
888804989199671297,3802,23692
888554962724278272,3115,18295
888078434458587136,3119,20218
887705289381826560,4849,28094
887517139158093824,10586,43036
887473957103951883,16165,63747
887343217045368832,9420,31246
887101392804085760,5361,28424
886983233522544640,6878,32363
886736880519319552,2876,11097
886680336477933568,4016,20856
886366144734445568,2845,19607
886267009285017600,4,111
886258384151887873,5678,25974
886054160059072513,100,0
885984800019947520,6041,30221
885528943205470208,5741,33355
885518971528720385,3361,18983
885311592912609280,16612,0
885167619883638784,3921,20299
884925521741709313,16208,71428
884876753390489601,5013,25810
884562892145688576,4224,22569
884441805382717440,5119,25145
884247878851493888,18245,67291
884162670584377345,2689,18939
883838122936631299,3083,20274
883482846933004288,8877,42494
883360690899218434,3325,21048
883117836046086144,5977,34432
882992080364220416,3493,22159
882762694511734784,4389,26218
882627270321602560,5458,25993
882268110199369728,10418,41576
882045870035918850,4385,27222
881906580714921986,3059,22592
881666595344535552,9591,47032
881633300179243008,7,115
881536004380872706,14383,45905
881268444196462592,4753,21589
880935762899988482,2516,15880
880872448815771648,3445,19767
880465832366813184,5583,26424
880221127280381952,3750,25048
880095782870896641,3907,25650
879862464715927552,3132,20771
879674319642796034,10,293
879492040517615616,2873,21814
879415818425184262,40063,98249
879376492567855104,2820,15621
879130579576475649,6130,0
879050749262655488,4238,20951
879008229531029506,2412,17671
878776093423087618,3686,17998
878604707211726852,6374,27988
878404777348136964,1158,0
878316110768087041,5982,0
878281511006478336,1158,7185
878057613040115712,6130,39127
877736472329191424,17078,73658
877611172832227328,72,0
877556246731214848,3433,21096
877316821321428993,4686,25502
877201837425926144,5025,25218
876838120628539392,3016,19250
876537666061221889,4233,22050
876484053909872640,2135,17485
876120275196170240,4215,26059
875747767867523072,3863,23402
875144289856114688,4436,20434
875097192612077568,5494,25565
875021211251597312,4264,23750
874680097055178752,4192,25917
874434818259525634,13140,0
874296783580663808,3728,24265
874057562936811520,3610,21193
874012996292530176,9256,31919
873580283840344065,3571,22601
873337748698140672,1435,0
873213775632977920,1435,6676
872967104147763200,4909,25432
872820683541237760,3375,13749
872620804844003328,3309,19366
872486979161796608,8218,38089
872122724285648897,7358,32020
871879754684805121,9958,35120
871762521631449091,3172,18905
871515927908634625,3164,18877
